title,author,genre,description
The Nightingale,Kristin Hannah,Historical Fiction,"Set in France during World War II, this novel follows the lives of two sisters as they navigate the difficulties of living in a war-torn country."
The Hate U Give,Angie Thomas,Young Adult,This novel follows the story of a 16-year-old girl who witnesses the fatal shooting of her unarmed friend by a police officer.
The Alchemist,Paulo Coelho,Spiritual Fiction,This novel follows the story of a young shepherd on a journey to fulfill his dreams and find his Personal Legend.
The Girl with the Dragon Tattoo,Stieg Larsson,Crime Fiction,This novel follows the story of a journalist and a hacker who team up to solve a decades-old mystery.
The Kite Runner,Khaled Hosseini,Literary Fiction,This novel follows the story of two childhood friends in Afghanistan and their journey to redemption.
The Catcher in the Rye,J.D. Salinger,Classic,This novel follows the story of a disillusioned teenager as he navigates the challenges of adolescence.
The Help,Kathryn Stockett,Historical Fiction,This novel follows the story of a young white woman and her black maid in 1960s Mississippi as they navigate the complexities of racial tension.
The Perks of Being a Wallflower,Stephen Chbosky,Young Adult,This novel follows the story of a shy teenager who finds acceptance and belonging among a group of outsiders in the 1990s.
The Handmaid's Tale,Margaret Atwood,Dystopian,This novel follows the story of a group of women who are forced into reproductive servitude in a totalitarian society.
The Power,Naomi Alderman,Speculative Fiction,"This novel follows the story of a group of women who suddenly develop the ability to release electrical jolts from their fingertips, and how this shift in power dynamics changes society."
